"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"64","Trator Agrícola","CASE","FARMALL 70","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-a3b3-7b75-8384-b10338bef4bd/019e1799-e804-7787-9629-bab66260bc16.pdf"
"65","Trator Agrícola","CASE","FARMALL 70","MANUAL DE SERVIÇOS DOS TRATORES CASE IH FARMAL 60 - 70 – 80 - 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-a3b3-7b75-8384-b10338bef4bd/019e1799-e85e-7dc9-bdd2-c01e41d891a1.pdf"
"66","Trator Agrícola","CASE","FARMALL 70","MANUAL DO OPERADOR PARA OS TRATORES FARMALL 60, 70, 80 E 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-a3b3-7b75-8384-b10338bef4bd/019e1799-f656-787d-9c70-d2d0eb09b0fc.pdf"
"67","Trator Agrícola","CASE","FARMALL 80","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178f-2538-720a-9474-0289c56900d1/019e179b-645e-7cdf-a4cf-75020f938a20.pdf"
"68","Trator Agrícola","CASE","FARMALL 80","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178f-2538-720a-9474-0289c56900d1/019e179b-64ae-7ba4-88d8-800ed67bbc50.pdf"
"69","Trator Agrícola","CASE","FARMALL 80","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178f-2538-720a-9474-0289c56900d1/019e179b-64c9-72ee-9b19-27e91173481a.pdf"
"70","Trator Agrícola","CASE","FARMALL 80","MANUAL DE SERVIÇOS DOS TRATORES CASE IH FARMAL 60 - 70 – 80 - 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178f-2538-720a-9474-0289c56900d1/019e179b-6562-7a04-8ed1-da66b6787ff3.pdf"
"71","Trator Agrícola","CASE","FARMALL 80","MANUAL DO OPERADOR PARA OS TRATORES FARMALL 60, 70, 80 E 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178f-2538-720a-9474-0289c56900d1/019e179b-73fb-74b9-89a2-167c3a13f8cd.pdf"
"72","Trator Agrícola","CASE","FARMALL 80 CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7caf-821c-b370c6442708/019e17ab-ada4-73fe-bdad-48360df2891f.pdf"
"73","Trator Agrícola","CASE","FARMALL 80 CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7caf-821c-b370c6442708/019e17ab-adf4-722e-aa11-a31a8e71a4f2.pdf"
"74","Trator Agrícola","CASE","FARMALL 80 CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7caf-821c-b370c6442708/019e17ab-ae1f-7821-a9de-c1ee9876bf4a.pdf"
